aic,description,spend_eur,resolved,confidence,method,unresolved_category,units,content_per_unit_mg,total_content_mg,source_note
033462045,SOLIAN*30CPR RIV 400MG,652.61,True,Validated,parsed:direct_strength,,30,400.0,12000.0,30CPR RIV 400MG
024402051,EUTIROX*50CPR 75MCG,651.98,True,Validated,parsed:direct_strength,,50,0.075,3.75,50CPR 75MCG
028717041,CARDIRENE*OS POLV 30BUST 75MG,651.87,True,Validated,parsed:direct_strength,,30,75.0,2250.0,30BUST 75MG
034684011,ZINCO SOLFATO IDI*30CPR 200MG,651.31,True,Validated,parsed:direct_strength,,30,200.0,6000.0,30CPR 200MG
046053029,ARIPIPRAZOLO AU*OS 150ML1MG/ML,650.25,False,Unresolved,unresolved,other,,,,
044472114,DULOXETINA ZEN*28CPS GASTR30MG,649.19,True,Validated,parsed:direct_strength,,28,30.0,840.0,28CPS GASTR30MG
014159026,MEDROL*30CPR 4MG,647.96,True,Validated,parsed:direct_strength,,30,4.0,120.0,30CPR 4MG
041180365,"ADOPORT*30CPS 0,75MG",647.06,True,Validated,parsed:direct_strength,,30,0.75,22.5,"30CPS 0,75MG"
014302032,ANAURAN*GTT AURIC FL 25ML,641.91,False,Unresolved,unresolved,other,,,,
035943048,TAMIFLU*10CPS 45MG,641.59,True,Validated,parsed:direct_strength,,10,45.0,450.0,10CPS 45MG
034289025,METEOSIM*50CPR MAST 40MG,641.16,True,Validated,parsed:direct_strength,,50,40.0,2000.0,50CPR MAST 40MG
049360148,LENALIDOMIDE GRIN*21CPS 25MG,639.71,True,Validated,parsed:direct_strength,,21,25.0,525.0,21CPS 25MG
027807320,LAMICTAL*56CPR DISPERS 50MG,639.4,True,Authoritative,aifa_ingredient_authoritative,,,,50.0,LAMOTRIGINA 50milligrammi
010344012,PURINETHOL*25CPR 50MG FL,638.57,True,Authoritative,aifa_ingredient_authoritative,,,,50.0,MERCAPTOPURINA 50milligrammi
035039229,KEPPRA*30CPR RIV 1000MG,636.4,True,Validated,parsed:direct_strength,,30,1000.0,30000.0,30CPR RIV 1000MG
042245047,MEMANTINA DOC*56CPR RIV 10MG,636.19,True,Validated,parsed:direct_strength,,56,10.0,560.0,56CPR RIV 10MG
022865176,SAMYR*IM EV 5FL 400MG+5F 5ML,631.88,True,Validated,parsed:direct_strength,,5,400.0,2000.0,5FL 400MG
040870255,OLANZAPINA CHE*28CPR ORO 5MG,629.12,True,Validated,parsed:direct_strength,,28,5.0,140.0,28CPR ORO 5MG
040072011,BICALUTAMIDE SUN*28CPR RIV50MG,627.0,True,Validated,parsed:direct_strength,,28,50.0,1400.0,28CPR RIV50MG
030905020,ACQUA PI*SACCA 5000ML IRRIG,625.19,False,Unresolved,unresolved,other,,,,
027428010,NORVASC*28CPR 5MG,624.19,True,Validated,parsed:direct_strength,,28,5.0,140.0,28CPR 5MG
037604093,"SUBOXONE*28FILM SUBL 2MG+0,5MG",622.4,True,Validated,parsed:direct_strength,,28,2.0,56.0,28FILM SUBL 2MG
027015142,"EPREX*1SIR 1000UI 0,5ML",622.4,False,Unresolved,unresolved,other,,,,
035297389,"CALCITRIOLO TEVA*30CPS 0,5MCG",621.11,True,Validated,parsed:direct_strength,,30,0.0005,0.015,"30CPS 0,5MCG"
026009011,LEVOPRAID*20CPR 25MG,620.16,True,Validated,parsed:direct_strength,,20,25.0,500.0,20CPR 25MG
037464498,CIPROFLOXACINA SA*12CPR 750MG,617.5,True,Validated,parsed:direct_strength,,12,750.0,9000.0,12CPR 750MG
038833024,METRONIDAZOLO B.B*EV 20F 100ML,617.36,False,Unresolved,unresolved,other,,,,
045412020,FEBUXOSTAT DOC*28CPR RIV 80MG,616.8,True,Validated,parsed:direct_strength,,28,80.0,2240.0,28CPR RIV 80MG
036476075,LYRICA*21CPS 50MG,616.31,True,Validated,parsed:direct_strength,,21,50.0,1050.0,21CPS 50MG
039701014,ALACARE*4CER MEDIC 8MG,616.0,True,Validated,parsed:direct_strength,,4,8.0,32.0,4CER MEDIC 8MG
043547013,"OLANZAPINA GLEN*28CPR 2,5MG",616.0,True,Validated,parsed:direct_strength,,28,2.5,70.0,"28CPR 2,5MG"
039730015,"TAMESAD*COLL20FL 0,3ML1,5MG/ML",615.23,True,Validated,parsed:vol_conc,,20,0.45,9.0,"20FL 0,3ML1,5MG/ML"
035146024,LIBRADIN*28CPS 10MG RM,614.69,True,Validated,parsed:direct_strength,,28,10.0,280.0,28CPS 10MG
023593039,EN*20CPR 1MG,613.84,True,Authoritative,aifa_ingredient_authoritative,,,,1.0,DELORAZEPAM 1milligrammi
023090044,ANDROCUR*30CPR 100MG,613.23,True,Authoritative,aifa_ingredient_authoritative,,,,100.0,CIPROTERONE ACETATO 100milligrammi
026999045,"DECAPEPTYL*SC 7FL 0,1MG+7F 1ML",612.78,True,Authoritative,aifa_ingredient_authoritative,,,,0.1,TRIPTORELINA 0.1milligrammi
030942650,"SODIO CLORURO*0,9% 36SAC 250ML",607.07,False,Unresolved,unresolved,other,,,,
050996026,ELTROMBOPAG ZE*28CPR RIV 25MG,605.49,True,Validated,parsed:direct_strength,,28,25.0,700.0,28CPR RIV 25MG
043275015,MERIOFERT*SC IM 1FL75UI+1SIR,605.0,False,Unresolved,unresolved,other,,,,
045120021,OLMAMPID*28CPR RIV 20MG+5MG,604.15,True,Validated,parsed:direct_strength,,28,20.0,560.0,28CPR RIV 20MG
034692020,PHAREPA*EV 10F 25000UI/5ML,602.6,False,Unresolved,unresolved,other,,,,
048261085,LEVETIRACETAM EG*30CPR 1000MG,602.3,True,Validated,parsed:direct_strength,,30,1000.0,30000.0,30CPR 1000MG
000307052,ATROPINA LUX*COLL 10ML 10MG/ML,598.01,False,Unresolved,unresolved,other,,,,
006979088,BUSCOPAN*40CPR RIV 10MG,598.01,True,Authoritative,aifa_ingredient_authoritative,,,,10.0,SCOPOLAMINA BUTILBROMURO 10milligrammi
019913033,SPIROLANG*10CPS 100MG,597.49,True,Validated,parsed:direct_strength,,10,100.0,1000.0,10CPS 100MG
020689028,VAGILEN*20CPS 250MG,596.34,True,Validated,parsed:direct_strength,,20,250.0,5000.0,20CPS 250MG
039730027,"TAMESAD*COLL 1FL 5ML 1,5MG/ML",594.0,True,Validated,parsed:vol_conc,,1,7.5,7.5,"1FL 5ML 1,5MG/ML"
